Altair	견우성	牽牛星
glossary	어휘	語彙
glottis	성문	聲門
goddess	여신	女神
godfather	대부	代父
godmother	대모	代母
gold leaf	금박	金箔
golden age	전성기	全盛期
gonorrhea	임질	淋疾
good	상품	商品
good faith	성의	誠意
good luck	행운	幸運
good money	양화	良貨
good offices	주선	周旋
goods	상품	商品
goods	물품	物品
goon	난폭자	亂暴者
gout	통풍	痛風
governing	통치하는	統治
government	정치	政治
government	정부	政府
government party	여당	與黨
governor	지배자	支配者
grace	우미	優美
grace	우아	優雅
grace	은혜	恩惠
gradation	단계	段階
grade	계급	階級
grade	정도	程度
grain	곡물	穀物
grammar	문법	文法
grammar	문전	文典
grandeur	웅대	雄大
grandfather	조부	祖父
grandmother	조모	祖母
granite	화강암	花崗岩
grant	수여하다	授與
graph	도표	圖表
graph paper	방안지	方眼紙
graphite	석묵	石墨
grappling	격투	格鬪
grass	목초	牧草
grave	조각하다	彫刻
graven image	조상	彫像
graveyard	묘지	墓地
gravity	중력	重力
gravity	엄숙	嚴肅
grazing	방목	放牧
greatness	위대	偉大
greed	탐욕	貪慾
greed	욕심	慾心
grenade	수류탄	手榴彈
ground	지면	地面
ground	지반	地盤
ground	수립하다	樹立
growing	성장하는	成長
growth	성장	成長
growth	생장	生長
growth	발육	發育
growth	발달	發達
grudge	원한	怨恨
grudge	유한	遺恨
guarantee	보증	保證
guarantee	보증하다	保證
guardhouse	영창	營倉
guardian	보호자	保護者
guardianship	보호	保護
guidance	안내	案內
guidance	지도	指導
guide	도표	道標
guillotine	단두대	斷頭臺
gun	대포	大砲
gun carriage	포차	砲車
gunboat	포함	砲艦
guncotton	면화약	綿火藥
gunfire	포화	砲火
gunnery	포술	砲術
gunpowder	화약	火藥
gunstock	총상	銃床
gushing	분출하는	噴出
gymnastics	체조	體操
habit	습관	習慣
halitosis	구취	口臭
hallucination	환각	幻覺
halve	반감하다	半減
handbook	편람	便覽
handicraft	수세공	手細工
handicraft	수예	手藝
handling	취급	取扱
handling	조종	操縱
handrail	난간	欄干
handshake	악수	握手
handwriting	필적	筆跡
hangar	격납고	格納庫
hanging	교살	絞殺
hangover	숙취	宿醉
happiness	행복	幸福
harbinger	선구자	先驅者
hard palate	경구개	硬口盖
hard water	경수	硬水
hardness	경도	硬度
hardness	무정	無情
harmonic	배음	倍音
harmony	조화	調和
harmony	화합	和合
harmony	화성	和聲
harvest	수확	收穫
hatch	창구	艙口
hatred	증오	憎惡
hay	건초	乾草
hazard	위험	危險
head	두뇌	頭腦
head office	본사	本社
head office	본점	本店
headache	두통	頭痛
heading	제목	題目
headmaster	교장	校長
headnote	두주	頭註
headquarters	본부	本部
health	건강	健康
hearing aid	보청기	補聽器
heart	심장	心臟
heart	중심	中心
heart's blood	심혈	心血
heat capacity	열용량	熱容量
heat rays	열선	熱線
heat treatment	열처리	熱處理
heat wave	열파	熱波
heatstroke	일사병	日射病
heaven	천국	天國
heavenly body	천체	天體
heavy hydrogen	중수소	重水素
heavy oil	중유	重油
heavy water	중수	重水
hegemony	패권	覇權
height	고도	高度
height	고지	高地
heir	사자	嗣子
heir	후계자	後繼者
helix	나선	螺旋
hell	지옥	地獄
helmsman	타수	舵手
hematite	적철광	赤鐵鑛
hemisphere	반구	半球
hemorrhoids	치질	痔疾
hemorrhoids	치핵	痔核
hepatitis	간염	肝炎
herb	초본	草本
herdsman	목자	牧者
hereafter	금후	今後
heredity	유전	遺傳
heresy	이단	異端
heritage	세습	世襲
hermit	은자	隱者
hero	영웅	英雄
hero	용사	勇士
heroic	영웅적인	英雄的
heroine	여걸	女傑
hesitation	주저	躊躇
heter	타	他
heteronomy	타율	他律
heyday	전성기	全盛期
hibernation	동면	冬眠
hide	피혁	皮革
hieroglyph	상형문자	象形文字
high atmospheric pressure	고기압	高氣壓
high blood pressure	고혈압	高血壓
high frequency	고주파	高周波
high priest	고승	高僧
high sea	공해	公海
high tide	고조	高潮
high treason	대역	大逆
high water	만조	滿潮
hindrance	방해	妨害
hint	암시	暗示
hint	암시하다	暗示
hinterland	오지	奧地
hippopotamus	하마	河馬
hire	고용하다	雇傭
history	연혁	沿革
hit	성공	成功
hobby	취미	趣味
hold	보류하다	保留
holiday	휴일	休日
holiness	신성	神聖
holy orders	성직	聖職
home	가정	家庭
home plate	본루	本壘
homework	숙제	宿題
homogeneous	동질	同質
honesty	정직	正直
honor	명예	名譽
honor	존경하다	尊敬
honorific	경어	敬語
hope	희망	希望
hope	기대	期待
hope	희망하다	希望
horse racing	경마	競馬
horseman	기수	騎手
horsemanship	마술	馬術
hospital	병원	病院
host	군세	軍勢
hostess	여급	女給
hostility	적의	敵意
hostility	적대	敵對
house	가옥	家屋
house call	왕진	往診
housewife	주부	主婦
housework	가사	家事
housing	주택	住宅
hue	색채	色彩
hue	색상	色相
human	인간적인	人間的
human nature	인성	人性
human nature	인정	人情
humanism	인본주의	人本主義
humanity	인류	人類
humanity	인정	人情
humanity	박애	博愛
humidity	습기	濕氣
humiliating	굴욕적인	屈辱的
humiliation	굴욕	屈辱
humility	겸손	謙遜
humus	부식토	腐植土
hunger	공복	空腹
hybrid	잡종	雜種
hydrochloric acid	염산	鹽酸
hydrocyanic acid	청산	靑酸
hydrolysis	가수분해	加水分解
hydrophobia	공수병	恐水病
hydrophobia	광견병	狂犬病
hyperbola	쌍곡선	雙曲線
hypha	균사	菌絲
hypocrisy	위선	僞善
hypothesis	가설	假設
hypothesis	가정	假定
ice floe	부빙	浮氷
ice water	빙수	氷水
iceberg	빙산	氷山
ichthyosaur	어룡	魚龍
icon	성상	聖像
idea	관념	觀念
idea	사상	思想
idea	이념	理念
ideal	이상적인	理想
ideal	관념적인	觀念的
ideal	이상	理想
idealism	이상주의	理想主義
idealism	유심론	唯心論
idealization	이상화	理想化
idiom	숙어	熟語
idleness	무위	無爲
idol	우상	偶像
idyllic	목가적인	牧歌的
ignition	점화	點火
ignition	발화	發火
ignorance	무지	無知
ignore	무시하다	無視
ileum	회장	回腸
ill will	악의	惡意
ill will	악감정	惡感情
illegality	위법	違法
illegality	불법	不法
illiteracy	문맹	文盲
illogical	비논리적인	非論理的
illumination	조명	照明
illumination	조도	照度
illusion	환영	幻影
illusion	환상	幻像
illusion	미망	迷妄
illustration	실례	實例
illustration	예증	例證
image	우상	偶像
image	영상	映像暎像
imagination	상상	想像
imagination	상상	想像
imagine	상상하다	想像
imagine	추측하다	推測
imbalance	불균형	不均衡
imbecility	저능	低能
imitation	모방	模倣
imitation	모조	模造
immanent	내재적인	內在的
immanent	내재적인	內在的
imminence	절박	切迫
imminence	급박	急迫
immoderation	과도	過度
imperialism	제정	帝政
impetus	자극	刺戟
implement	도구	道具
implement	용구	用具
implementation	이행	履行
implication	연루	連累
implication	포함	包含
implication	함축	含蓄
import	수입하다	輸入
import	수입	輸入
imposition	부과	賦課
impregnation	수정	受精
impression	인상	印象
imprisonment	투옥	投獄
imprisonment	금고	禁錮
imprisonment	유폐	幽閉
impropriety	부정	不正
improvement	개량	改良
improvement	개선	改善
improvement	향상	向上
improvement	개량	改良
impulsive	충동적인	衝動的
impurity	불순	不純
inattention	부주의	不注意
inborn	선천적인	先天的
incandescence	백열	白熱
incantation	주문	呪文
incarceration	유폐	幽閉
incarnation	권화	權化
incarnation	화신	化身
incense burner	향로	香爐
incentive	자극	刺戟
incentive	유인	誘因
incidence	발생	發生
incidence	입사	入射
incineration	소각	燒却
inclination	의향	意向
inclusion	포함	包含
inclusion	포괄	包括
incompetence	무능력	無能力
incompetent	무능력자	無能力者
inconsistency	모순	矛盾
inconstancy	부정	不定
inconvenience	불편	不便
incorporation	합동	合同
incorporation	편입	編入
increase	번식하다	繁殖
increase	번식	繁殖
incubation	부화	孵化
incurability	불치	不治
indemnity	배상	賠償
indemnity	변상	辨償
independence	자주	自主
independence	자립	自立
index	지표	指標
index number	지수	指數
indication	지시	指示
indifference	냉담	冷淡
indignation	분개	憤慨
indirectness	간접	間接
indiscretion	무분별	無分別
individual	개인적인	個人
individualism	개인주의	個人主義
individualist	개인주의자	個人主義者
individuality	개성	個性
individuality	인격	人格
induce	야기하다	惹起
induce	유발하다	誘發
inducement	유인	誘引
inducement	유도	誘導
inducement	유인	誘引
industrial park	공업단지	工業團地
industry	산업	産業
industry	공업	工業
industry	사업	事業
industry	근면	勤勉
indwelling	내재하다	內在
inefficiency	무능	無能
inequality	불평등	不平等
inertia	타성	惰性
inertia	타력	惰力
inevitable	필연적인	必然
inexpediency	불편	不便
inexperience	미숙	未熟
infamy	악평	惡評
infamy	오명	汚名
infancy	유소	幼少
infancy	유년	幼年
infant	유아	幼兒
infant	유아	幼兒
infer	추측하다	推測
inference	추리	推理
inferiority	열등	劣等
inferiority complex	열등감	劣等感
infertility	불임	不妊
infidelity	배신	背信
infidelity	부정	不貞
infield	내야	內野
infinitude	무궁	無窮
inflammable	가연물	可燃物
inflammation	염증	炎症
inflection	억양	抑揚
inflorescence	화서	花序
influence	영향	影響
influence	세력	勢力
influence	권세	權勢
influence	위력	偉力
influence	유력자	有力
influence	좌우하다	左右
influx	유입	流入流入
information	정보	情報
information	보고	報告
information	보도	報道
information	지식	知識
information	견문	見聞
infract	위반하다	違反
ingathering	수확	收穫
ingratitude	망은	忘恩
ingredient	재료	材料
inhabitant	거주자	居住者
inhalation	흡입	吸入
inheritance	상속	相續
inheritance	유산	遺産
iniquity	부정	不正
initiation	전수	傳授
injection	주입	注入
injury	상해	傷害
injury	손해	損害
injury	상해	傷害
injury	위해	危害
injustice	불법	不法
injustice	부정	不正
inland	내륙	內陸
inland sea	내해	內海
inn	여관	旅館
innate	선천적인	先天的
inner ear	내이	內耳
innocence	무죄	無罪
innovation	신기축	新機軸
innovation	혁신	革新
innuendo	풍자	諷刺
inoculation	종두	種痘
inquiry	질문	質問
inquiry	조회	照會
inquiry	조사	調査
inquiry	취조	取調
inscription	비명	碑銘
inscription	비문	碑文
insecurity	불안정	不安定
insensibility	무신경	無神經
insertion	삽입	揷入
inside	내부	內部
insight	안식	眼識
insight	식견	識見
insignia	기장	記章
insignia	휘장	徽章
insistence	주장	主張
insistence	고집	固執
insolence	오만	傲慢
inspection	감찰	監察
inspiration	영감	靈感
inspiration	고취	鼓吹
inspiration	고무	鼓舞
inspiration	감화	感化
inspiration	감화	感化
installation	설비	設備
installation	장치	裝置
instance	예증하다	例證
instant	찰나	刹那
instant	순간	瞬間
instinct	본능	本能
institution	설립	設立
institution	제도	制度
instruction	훈령	訓令
instruction	지령	指令
instruction	명령	命令
instruction	지시	指示
instruction	명령	命令
insult	모욕하다	侮辱
insult	모욕	侮辱
insurance	보험	保險
insure	보증하다	保證
insurgent	폭도	暴徒
insurgent	반란자	反亂者
insurrection	폭동	暴動
integral	적분	積分
integrity	보전	保全
intelligence	지성	知性
intelligence	지능	智能
intelligence	정보	情報
intensive	집약적인	集約的
intention	의향	意向
intention	목적	目的
interception	차단	遮斷
intercession	중재	仲裁
interchange	교환	交換
intercourse	교통	交通
interest	관심	關心
interest	감흥	感興
interest	이해관계	利害關係
interest	이권	利權
interest	권익	權益
interest	이익	利益
interference	방해	妨害
interference	방해	妨害
interior	내부	內部
interior	오지	奧地
interior angle	내각	內角
interlocutor	대화자	對話者
interlude	막간	幕間
intermediary	매개	媒介
intermediation	중개	仲介
interment	토장	土葬
internal	내면적인	內面的
internal	내재적인	內在的
international	국제적인	國際的
internment	억류	抑留
interpretation	해석	解釋
interpretation	통역	通譯
interrogate	질문하다	質問
interrogation	심문	審問
interrogator	질문자	質問者
interruption	중단	中斷
interruption	중절	中絶
interruption	불통	不通
intersection	교차	交叉
intervention	개입	介入
interview	회견	會見
interview	면접	面接
interviewer	회견자	會見者
intimacy	친밀	親密
intimacy	친교	親交
intimidator	협박자	脅迫者
intoxication	도취	陶醉
intrigue	밀통	密通
intrigue	밀통하다	密通
intro	소개하다	紹介
introduction	도입	導入
introduction	소개	紹介
introduction	서론	序論
intrude	침입하다	侵入
intruder	침입자	侵入者
intruder	난입자	亂入者
inundate	침수하다	浸水
inundate	쇄도하다	殺到
inundation	침수	浸水
invader	침입자	侵入者
invalidation	실효	失效
invasion	침입	侵入
invasion	침략	侵掠
invention	발명	發明
investigation	조사	調査
investigation	수사	搜査
investiture	임관	任官
investment	투자	投資
investment	출자	出資
invitation	권유	勸誘
involvement	연루	連累
ionization	전리	電離
iris	홍채	虹彩
iron	철분	鐵分
iron sand	사철	砂鐵
ironware	철기	鐵器
ironworker	철공	鐵工
irony	풍자	諷刺
irony	반어	反語
irrationality	부조리	不條理
irregularity	불규칙	不規則
irregularity	변칙	變則
irresponsibility	무책임	無責任
irrigation	관개	灌漑
isolation	고립	孤立
isolation	격리	隔離
isolation	분리	分離
isomorphism	동형	同型
issue	출판하다	出版
isthmus	지협	地峽
item	항목	項目
itinerary	여정	旅程
itinerary	도정	道程
ivory	상아	象牙
jade	비취	翡翠
jadeite	경옥	硬玉
jasper	벽옥	碧玉
jealousy	질투	嫉妬
jetty	잔교	棧橋
jibe	일치하다	一致
judge	재판관	裁判官
judge	판사	判事
judo	유도	柔道
jumping	도약하는	跳躍
junior high school	중학교	中學校
justice	정의	正義
justice	공정	公正
justice	공평	公平
kaleidoscope	만화경	萬華鏡
kernel	핵심	核心
kerosene	등유	燈油
key point	요충	要衝
kidney	신장	腎臟
killer	살인자	殺人者
kind	종류	種類
kindergarten	유치원	幼稚園
king	국왕	國王
kingdom	왕국	王國
kitchen	주방	廚房
knead	안마하다	按摩
kneecap	슬개골	膝蓋骨
knitting	편물	編物
knowledge	지식	知識
labium	음순	陰脣
labor	근로	勤勞
laborer	노동자	勞動者
labyrinth	미로	迷路
labyrinth	미궁	迷宮
lactic acid	유산	乳酸
lading	적재	積載
lady	숙녀	淑女
lady	귀부인	貴婦人
lake	호수	湖水
lampoon	풍자하다	諷刺
lance corporal	병장	兵長
lancer	창기병	槍騎兵
land	육지	陸地
land mine	지뢰	地雷
land tax	지조	地租
landing	상륙	上陸
landing	착륙	着陸
landlord	지주	地主
landscape gardening	조원	造園
language	언어	言語
lapis lazuli	유리	瑠璃
lapse	소멸하다	消滅
larch	낙엽송	落葉松
larva	유충	幼蟲
larva	유생	幼生
larynx	후두	喉頭
lassitude	무기력	無氣力
last	최후	最後
latency	잠재	潛在
lathe	선반	旋盤
launch	기정	汽艇
lava	용암	熔岩
law	법학	法學
lawyer	변호사	辨護士辯護士
layman	속인	俗人
lead poisoning	연독	鉛毒
lead poisoning	연독	鉛毒
leader	지도자	指導者
leading part	주역	主役
leaf mold	부엽토	腐葉土
league	동맹	同盟
league	연맹	聯盟
leap	도약하다	跳躍
leap year	윤년	閏年
learning	학문	學問
leaven	효모	酵母
lecturer	강사	講師
lecturer	강연자	講演者
ledger	원장	元帳
left wing	좌파	左派
legal	합법적인	合法的
legislation	입법	立法
legislator	입법자	立法者
leisure	여가	餘暇
leprosy	나병	癩病
lesson	학과	學課
lesson	과업	課業
lethal	치명적인	致命的
lethal	치사적인	致死
lethargy	혼수	昏睡
lettering	자체	字體
leucocyte	백혈구	白血球
level	수준	水準
libel	중상하다	中傷
liberate	해방하다	解放
liberate	석방하다	釋放
liberation	해방	解放
liberty	자유	自由
librarian	사서	司書
license	면허	免許
license	인가	認可
license	면허하다	免許
licorice	감초	甘草
life	생명	生命
ligament	인대	靭帶
light cavalry	경기병	輕騎兵
light music	경음악	輕音樂
light wave	광파	光波
lighthouse	등대	燈臺
lignite	갈탄	褐炭
likelihood	가능성	可能性
liking	기호	嗜好
lily	백합	百合
limb	수족	手足
limit	한계	限界
limit	한도	限度
limit	제한	際限
limitation	제한	制限
limited edition	한정판	限定版
line	노선	路線
line	행렬	行列
lineage	혈통	血統
linear measure	척도	尺度
linesman	선심	線審
lion	사자	獅子
liquefaction	액화	液化
liquid	액체	液體
liquid	유동체	流動體
liquid measure	액량	液量
liquidation	청산	淸算
liquidity	유동성	流動性
listening	청취	聽取
literary	문학적인	文學的
literature	문학	文學
literature	문헌	文獻
literature	문예	文藝
livelihood	생계	生計
liveliness	활기	活氣
liveliness	쾌활	快活
livestock	가축	家畜
living	생활	生活
living	생계	生計
living room	거실	居室
load	하중	荷重
loan	대부	貸付
loan	대차	貸借
loan	차관	借款
localize	국한하다	局限
location	위치	位置
lockjaw	파상풍	破傷風
locomotive	기관차	機關車
lodging	하숙	下宿
lodging	숙박	宿泊
lodging	숙소	宿所
logarithm	대수	對數
logic	논리학	論理學
logic	논리	論理
logical	논리적인	論理的
longevity	장수	長壽
longevity	장수	長壽
longing	동경	憧憬
longitude	경도	經度
longitude	경도	經度
look	용모	容貌
loom	직기	織機
loot	약탈하다	掠奪
looting	약탈	掠奪
loss	손실	損失
loss	상실	喪失
loss	손해	損害
loudspeaker	확성기	擴聲器
love	애정	愛情
love	애호	愛好
love	자애	慈愛
love	연애	戀愛
love affair	정사	情事
love song	연가	戀歌
lover	연인	戀人
lover	애인	愛人
low tide	간조	干潮
lowland	저지	低地
loyalty	충성	忠誠
loyalty	충절	忠節
lubricating oil	윤활유	潤滑油
lumbago	요통	腰痛
lumber	재목	材木
lunar eclipse	월식	月蝕
lurk	잠복하다	潛伏
lustre	광택	光澤
luxury	사치	奢侈
machination	책동	策動
machinator	책사	策士
machine	기계	機械
machine gun	기관총	機關銃
madam	부인	夫人
madness	광기	狂氣
maestro	거장	巨匠
magazine	잡지	雜誌
magic	마법	魔法
magic	기술	奇術
magic lantern	환등	幻燈
magnanimity	아량	雅量
magnet	자석	磁石
magnetic field	자장	磁場
magnetic field	자계	磁界
magnetic flux	자속	磁束
magnetic needle	자침	磁針
magnetism	자기	磁氣
magnetism	자력	磁力
magnetite	자철광	磁鐵鑛
magnification	확대	擴大
magnification	배율	倍率
magnolia	목련	木蓮
mahjong	마작	麻雀
maiden	처녀	處女
mailing	우송	郵送
main force	주력	主力
main line	간선	幹線
main line	본선	本線
main line	간선	幹線
maintenance	유지	維持
maintenance	보존	保存
major premise	대전제	大前提
major scale	장음계	長音階
majority	성년	成年
make	성공하다	成功
malice	악의	惡意
malleability	전성	展性
malt	맥아	麥芽
mammary gland	유선	乳腺
management	취급	取扱
management	경영	經營
manager	지배인	支配人
manager	경영자	經營者
manager	관리인	管理人
manatee	해우	海牛
manifestation	표명	表明
manipulate	조종하다	操縱
mankind	인류	人類
manner	방법	方法
manner	태도	態度
manor	장원	莊園
manslayer	살인자	殺人者
mantissa	가수	假數
mantra	진언	眞言
manual	편람	便覽
manufacture	제작	製作
manufacture	제조하다	製造
manufacturer	생산자	生産者
map	지도	地圖
marble	대리석	大理石
marcasite	백철광	白鐵鑛
march	행진	行進
march	행군	行軍
margin	난외	欄外
margin	여지	餘地
margin	여유	餘裕
marine products	해산물	海産物
mark	목표	目標
mark	부호	符號
mark	점수	點數
market	시장	市場
market	판로	販路
market price	시가	市價
marketplace	시장	市場
marquess	후작	侯爵
marriage	결혼	結婚
marrow	골수	骨髓
marsh	소택	沼澤
martial art	무도	武道
martial art	무술	武術
martial law	계엄령	戒嚴令
mason	석공	石工
masquerade	가장	假裝
masquerade	가장하다	假裝
mass	집단	集團
massage	안마	按摩
master	선생	先生
master	명인	名人
master	지배하다	支配
masterpiece	걸작	傑作
masterpiece	명작	名作
mastery	숙달	熟達
masturbation	수음	手淫
match	시합	試合
material	물질적인	物質的
material	자료	資料
materialization	실현	實現
mathematic	수리적인	數理
mathematician	수학자	數學者
mathematics	수학	數學
mating	교배	交配
matriculation	입학	入學
matter	내용	內容
maturity	성숙	成熟
maximum	최대한도	最大限度
mayor	시장	市長
maze	미로	迷路
meal ticket	식권	食券
meaning	의미	意味
meaning	의의	意義
meanness	야비	野卑
measure	수단	手段
measurement	측량	測量
measurement	측정	測定
mechanics	역학	力學
mechanism	기구	機構
medal	상패	賞牌
medal	기장	記章
medal	훈장	勳章
median point	중점	中點
mediation	조정	調停
mediation	중재	仲裁
mediation	화해	和解
medicine	의술	醫術
medicine	의학	醫學
meditation	명상	瞑想
meditation	묵상	默想
medium	매질	媒質
meeting	회합	會合
meeting place	회장	會場
melody	해조	諧調
melody	선율	旋律
melting	용해	鎔解
member	구성원	構成員
memorial	기념하는	記念
memory	기억	記憶
memory	기념	記念
menace	협박	脅迫
menace	협박하다	脅迫
menacing	협박적인	脅迫的
meninges	뇌막	腦膜
menopause	폐경기	閉經期
mental arithmetic	암산	暗算
mentalism	유심론	唯心論
mercantilism	중상주의	重商主義
merchandise	상품	商品
merchant	상인	商人
merchant ship	상선	商船
mercy	자비	慈悲
mercy	연민	憐愍
meridian	자오선	子午線
merit	가치	價値
merit	공적	功績
meson	중간자	中間子
messenger	사자	使者
messiah	구세주	救世主
metabolism	신진대사	新陳代謝
metamorphosis	변형	變形
metamorphosis	변태	變態
metastasis	전이	轉移
meteor	유성	流星流星
meteorite	운석	隕石
method	방법	方法
method	방식	方式
method	질서	秩序
metonymy	환유	換喩
mica	운모	雲母
microbe	미생물	微生物
microcosm	소우주	小宇宙
micrometer	측미계	測微計
midbrain	중뇌	中腦
middle ear	중이	中耳
midwife	산파	産婆
mien	풍채	風采
migraine	편두통	偏頭痛
migration	이주	移住
mild steel	연강	軟鋼
milestone	이정표	里程標
militant	투사	鬪士
military affairs	군사	軍事
military government	군정	軍政
military law	군법	軍法
military service	병역	兵役
milk	우유	牛乳
milk sugar	유당	乳糖
mind	정신	精神
mind reading	독심술	讀心術
mind's eye	심안	心眼
miner	갱부	坑夫
mineral	광물	鑛物
mineral oil	광유	鑛油
mining	채광	採鑛
ministry	성직	聖職
mintage	조폐	造幣
minuend	피감수	被減數
miracle	기적	奇蹟
miracle drug	영약	靈藥
misappropriation	남용	濫用
miscalculation	오산	誤算
miscarriage	유산	流産流産
misconstruction	곡해	曲解
miser	수전노	守錢奴
misery	비참	悲慘
misfortune	불운	不運
misfortune	불행	不幸
misfortune	재난	災難
misgovernment	악정	惡政
misgovernment	실정	失政
misinformation	오보	誤報
misinformation	오전	誤傳
misprint	오식	誤植
mission	사명	使命
mistress	주부	主婦
mistress	애인	愛人
mistress	정부	情婦
misunderstanding	오해	誤解
mixture	혼합	混合
mob	군중	群衆
mobilization	동원	動員
mockery	조롱	嘲弄
model	모형	模型
model	원형	原型
model	모범	模範
moderation	중용	中庸
modern	근대적인	近代的
modern times	현대	現代
modesty	겸양	謙讓
modulation	억양	抑揚
moisture	습기	濕氣
moisture	수분	水分
molasses	당밀	糖蜜
molecule	분자	分子
molester	치한	痴漢癡漢
moment	순간	瞬間
momentum	여세	餘勢
monarch	군주	君主
monocle	단안경	單眼鏡
monopolistic	독점적인	獨占的
monotony	단음	單音
monotony	단조	單調
monster	괴물	怪物
moral	수신	修身
morality	도의	道義
morality	도의	道義
morning	오전	午前
mortgage	저당	抵當
mortification	고행	苦行
most favored nation	최혜국	最惠國
mother ship	모함	母艦
motion	동작	動作
motive	동기	動機
motive power	원동력	原動力
motto	표어	標語
mount	대지	臺紙
mountain range	산맥	山脈
mountain system	산계	山系
movement	동작	動作
mucilage	점액	粘液
mucous membrane	점막	粘膜
mucus	점액	粘液
multiple	배수	倍數
multiple cropping	다모작	多毛作
multiplier	승수	乘數
multiply	번식하다	繁殖
murder	살인	殺人
murderer	살인자	殺人者
muscle	근육	筋肉
museum	박물관	博物館
music	음악	音樂
musk	사향	麝香
muster	점호	點呼
muster	점호하다	點呼
mutation	변화	變化
mutation	변종	變種
mutiny	반란	反亂
muzzle	총구	銃口
mystery	신비	神秘
myth	신화	神話
naivete	소박	素朴
naked eye	육안	肉眼
naked eye	나안	裸眼
name	지명하다	指名
narrowness	편협	偏狹
nasal	비음	鼻音
nation	민족	民族
national debt	국채	國債
national flag	국기	國旗
nationality	국적	國籍
native	토인	土人
natural history	박물학	博物學
natural law	천리	天理
naturalization	귀화	歸化
naturalization	귀화	歸化
naturally	물론	勿論
nature	천성	天性
nature	성질	性質
naval station	군항	軍港
navigate	항해하다	航海
navy	해군	海軍
neap tide	소조	小潮
nebula	성운	星雲
negation	부정	否定
negation	부인	否認
negation	부정	否定
negative	소극적인	消極
negatron	음전자	陰電子
neglect	무시하다	無視
negligence	태만	怠慢
negotiation	협상	協商
neophyte	신참자	新參者
nerve	신경	神經
nerve	신경	神經
nerve	용기	勇氣
nerve	담력	膽力
neutralize	중화하다	中和
neutron	중성자	中性子
new order	신체제	新體制
news	소식	消息
nightmare	악몽	惡夢
nighttime	야간	夜間
noble	귀족	貴族
noctambulist	몽유병자	夢遊病者
nocturne	야상곡	夜想曲
nom de plume	아호	雅號
nonconfidence	불신임	不信任
nonprofit	비영리적인	非營利的
noon	정오	正午
normal	전형적인	典型
normalcy	정상	正常
normalization	정상화	正常化
normative	규범적인	規範的
north	북부	北部
northward	북방	北方
nose dive	급강하	急降下
note	각서	覺書
note	수기	手記
note	각서	覺書
note	어조	語調
note	지폐	紙幣
notebook	수첩	手帖
notice	통지	通知
notice	고지	告知
notice	주목	注目
notice	고시	告示
notice	주목하다	注目
notice	논평하다	論評
notion	관념	觀念
notion	개념	槪念
nova	신성	新星
now	방금	方今
nowadays	현대	現代
nuclear fission	핵분열	核分裂
nuclear fusion	핵융합	核融合
nuclear test	핵실험	核實驗
numeral	수사	數詞
nurse	간호하다	看護
nurse	간호하다	看護
nursery	묘상	苗床
nursery rhyme	동요	童謠
nursing	간호하는	看護
nursing	육아	育兒
nursing	보육	保育
nut	견과	堅果
obedience	복종	服從
obesity	비만	肥滿
obesity	비대	肥大
object	물체	物體
objection	반대	反對
objection	이의	異議
objective	목표	目標
objector	반대자	反對者
obscenity	외설	猥褻
obscurity	불명료	不明瞭
obscurity	미천	微賤
observance	준수	遵守
observation	주목	注目
observation	감시	監視
observer	관찰자	觀察者
obstinacy	완고	頑固
obstruction	방해	妨害
occupation	점령	占領
occupation	직업	職業
occupier	거주자	居住者
occurrence	발생	發生
ocean	대양	大洋
octagon	팔변형	八邊形
odorless	무취	無臭
offer	제공	提供
offer	제공	提供
offer	제공하다	提供
offering	헌납	獻納
office	임무	任務
offspring	자손	子孫
oil	석유	石油
ointment	연고	軟膏
old soldier	노병	老兵
old woman	노파	老婆
onanism	수음	手淫
onlooker	방관자	傍觀者
open air	야외	野外
opening	개장	開場
opening	개통	開通
opera	가극	歌劇
operate	작용하다	作用
operate	작용하다	作用
operation	작용	作用
opium	아편	阿片
opponent	대립하는	對立
opportunity	기회	機會
opposer	반대자	反對者
opposition	반대	反對
opposition	저항	抵抗
opposition	대항	對抗
opposition	반대	反對
opposition	저항	抵抗
opposition	적대	敵對
opposition	대항	對抗
opposition	대립	對立
oppression	압박	壓迫
oppression	압제	壓制
oppressive	압제적인	壓制的
oppressor	압제자	壓制者
optic	광학	光學
optics	광학	光學
option	선택권	選擇權
orb	구체	球體
order	명령	命令
order	순서	順序
order	훈장	勳章
order	명령하다	命令
order	주문하다	注文
orderly	전령	傳令
ordinarily	보통	普通
ore	광석	鑛石
ore	원광	原鑛
organization	구성	構成
organization	편성	編成
organization	체제	體制
organization	단체	團體
organization	기구	機構
origin	기원	起原
originality	창의	創意
originally	원래	元來
originator	창시자	創始者
originator	시조	始祖
ornament	장식	裝飾
ornament	장식	裝飾
orphan	고아	孤兒
oscillation	진동	振動
oscillator	발진기	發振器
ostentation	과시	誇示
ostrich	타조	駝鳥
outfield	외야	外野
outlaw	무법자	無法者
outlet	출구	出口
outlet	판로	販路
outline	대요	大要
outline	개략	槪略
outlook	전망	展望
outpost	전초	前哨
outset	최초	最初
outsider	국외자	局外者
outsider	문외한	門外漢
outskirts	교외	郊外
outskirts	주변	周邊
overcoat	외투	外套
overcome	압도하다	壓倒
overmaster	압도하다	壓倒
overpass	육교	陸橋
overpower	압도하다	壓倒
overseer	감독자	監督者
overthrow	타도	打倒
overthrow	타도하다	打倒
overture	서곡	序曲
overturn	타도하다	打倒
