다북쑥속의 식물	オウシュウヨモギ
전도성	熱伝導,伝導度
오리 너구리	カモノハシ
원핵생물	原核生物
절대의	絶対,絶対な
곤란하게 하다	懲罰する,ばっする,制裁する
피부과	皮膚科学
절도광	窃盗症
이안류	離岸流,りがんりゅう,riganryū
전당포	質屋
두들기는기구	ビーター
전동력	電圧
봉토둑	小山,丘
할로윈	ハロウィン,ハロウィーン
재빨리	1. 早々,早速 2. 早々,早速
뉴스 보도자	ジャーナリスト,記者,リポーター,報告者
핸드폰	携帯,けいたいでんわ,携帯電話,セルフォン,ケータイ,セルホーン
재빠른	さっさと
무사마귀	イボ
유치한	幼稚
포유동물	哺乳類,哺乳動物
핸디캡	障害物,欠点
예배 규칙서	ディレクトリ
피부염	皮膚炎
제노바	ジェノヴァ
고미다락방	1. 屋根裏部屋 2. 屋根裏部屋
제조업자	製作者,生産者
이어서	それ,それから,その後,後で
자수정	アメシスト,アメジスト,紫石英,紫水晶,紫色
입신한	幸運な,成功した,成功裏の
마리네드에 담그다	マリネにする
돼지꼬리	お下げ
어휘학자	語彙論
하이데라바드	ハイデラバード
인종적 증오	人種差別
하르툼	ハルツーム
이어링	イヤリング
하마스	ハマース
크르와상	クロワッサン
한마디	音節
의좋은	なごやか
자세히	特別,一入,ひとしお,別段,特殊に,特別に
마라케시	マラケシュ
대제사장	高僧
전능의	全能
할로겐	ハロゲン
동화작용	同化
남자친구	kare,カレ,カレシ,kareshi,かれし,ボーイフレンド
불신앙	不信心
값싼 붉은 포도주	赤字
똥구멍	肛門
불시의	igai na,いがいな,意外な
불신자	異邦人,不信者
일시의	短命な,はかない,束の間の
부룬디 프랑	フラン
음절표	音節文字
언외의 의미	含意
반죽하다	捏ねる,練る,こねる
보풀의	ふかふかした,ほっこり
귀부인 같은	女らしい,おんならしい
자서전	自伝
미니스커트	ミニスカート
디코딩	復号化,暗号解読
의인화	擬人観,擬人化
적당히	適当に
비구니	尼,尼僧
불쌍한	かわいそうな,かわいい
의의학	意味論
돼지기름	ラード
절대로	何時でも,万々,曾て
풍토성	固有種
자석영	アメシスト,アメジスト,紫石英,紫水晶,紫色
커플링	結合
여러 차례	しばしば
비겁자	ディンゴ
당좌 계정	当座預金
전란의 터	操縦席
유치원	幼稚園
페라이트	フェライト
재보험	再保険
인용문	引用文,引用
상표 등록 방해자	aite,相手
속태우다	騒がす,いらいらさせる,苦しめる,煩わす
유태인	1. ユダヤ人,ヘブライ語 2. ユダヤ人 3. ユダヤ,ユダヤ人
로도스섬	ロードス島
정당한	合法性
영광스러운	栄光
제대로	心地よく
중심인물	スパークプラグ
영광스럽은	栄光
말라리아의 독기	マラリア
떠벌린	無理な,誇張された
피스톤	ピストン
핵반응	核反応
거세된 남자	宦官
단편 소설	短編小説
필수의	1. 必要な 2. 必要な
스코틀랜드	スコットランド,蘇格蘭
상식 있는	バランスの取れた,常識のある
해밀턴	1. ハミルトン 2. ハミルトン
metiko?	metiku
믿을수 없는 녀석	がらがら蛇,ガラガラヘビ
접두사	接頭辞
예금 통장	通帳
하사금	心付け
일원론	一元論
하사관	1. 軍曹 2. じゅんい
해변복	水泳着,水着,海水着
기분 좋은	愉快な,たのしい,愉快,tanoshii
불구 발육부전	人工流産,妊娠中絶,中絶,人工妊娠中絶
푸에블라	プエブラ
음경에의 구강성교	フェラ,尺八,フェラチオ,しゃくはち
너무 삶다	過ぎる
미리 앎	予知
필수품	必要,nyūyō,入用,にゅうよう
일요일	日曜日
입양아	養子
해변에	上陸,陸上,陸上に
장소의	空間的
해변의	りんかい
놀기 좋아하는	茶目な
거짓눈물	嘘泣き
신문잡지판매소	通信社
몽고 인종의	黄色い
절도죄	盗み
연료전지	燃料電池
그 재목	ポプラ
우곡 십자 기장	卐,卍,ハーケンクロイツ
자유주의	1. 自由主義 2. 自由主義
데이터 처리 장치	コンピューター,計算機,電子計算機,電算機,電卓,コンピュータ
유쾌한	陽気な
앙그라 마이뉴	アンラ・マンユ
아이스크림	アイスクリーム,aisukurīmu,アイス
퍼붓는 비	大雨,土砂降り
실존주의자	実存主義者
일어남	反乱,ほうき,hōki,暴動
육해공군 공동의	水陸両用
고의가 아닌	偶然の
학생 유게실	居間,リビング
모르고 있음	無知,めくら,盲,不知
한랭 전선	寒冷前線
쿠미스	馬乳酒,クミス
이어폰	ヘッドホン,イヤフォン
우르두어	ウルドゥー語,うるどぅーご,urudūgo
관대히 다루다	黙認
불꽃놀이	花火
의지할 사람	信頼
불평하는 사람	原告
野菜	野菜,緑黄色野菜
가장 중요한 것은	重要
늪이 많은	浸水した
불명확하게	itsumademo,何時までも,いつまでも
물뿌리개	じょうろ
인용구	抜粋
연대 책임	結束,連帯
이윽고	その内,実際に,今
난쟁이 꼬마	エルフ
의지의	意識的な
빈정대는말	当てこすり
정당의	政治上の,政治的な
잠무 카슈미르 주	カシミール,ジャンムー・カシミール州
서부독일의수도	ボン
부수사고	成功報酬
침팬지속	黒猩々,チンパンジー
하모니카	口琴,ハーモニカ,口風琴,ハープ
이원성	二重性
응축물	凝縮
그 주도	ジェノヴァ
청진하다	聴診,聴診する
배드민턴	バドミントン
이중성	連星,二重星
인조의	人工的な,人工の,人為的な
음역하다	字訳
진공 청소기	掃除機
똑같은	似ている,同じような
똑같이	1. 同じく 2. -も,また,も,さらに,にも
북빙양	北氷洋,北極海,北極洋
네발 짐승	四足歩行,四足獣,四本脚
장식의	飾る
철근콘크리트	鉄筋コンクリート
체코 공화국	チェコ,チェコ共和国
실룩거리는	ビクビク
비엔티안	ヴィエンチャン,ビエンチャン
수염을 깍다	理髪師,床屋,美容師
분비의	口堅い,口が堅い
변호사	1. 弁護士 2. 代言人,弁護士
핼리벗	オヒョウ
전략의	戦略的な
자연수	非負数,自然數,正数,自然数
컴퓨터	コンピューター,計算機,電子計算機,電算機,電卓,コンピュータ
동닿지 않은	不調和な
유포늄	ユーフォニアム
dorig?	dōriku
직업 직함	仕事
몬테레이	モンテレー
부자연하게	人工的に
켈트족	ケルト人
상대도수	周波数
자살 행위	ロシアンルーレット
전기독교도	キリスト教
마이크로코드	ファームウェア
작용기	官能基
틀림없이	必ず,zehi,正に,是非,その通り,屹度,実に,確かに,確実に,きっと,ぜひ
자연어	言語,自然言語
응축액	凝縮
임의의	ランダムな,任意の,勝手気まま,勝手気ままな,不可解,無作為な,出任せ,出任せの
발명의재주	巧妙
마가복음	マルコ
마라티어	マラーティー語
조각가	彫刻家
구명 자켓	救命胴衣,ライフジャケット
잠수함	1. 潜水艦 2. 潜水艦
쓸모없이 된	時代遅れ,廃れた,退化した
말티니크	マルティニーク,マルティニーク島
셀시우스	セ氏,摂氏,セルシウス
아젤바이자니어	アゼルバイジャン語
가라앉히다	なだめる
일장기	目玉焼き
한밤중	1. 真夜中,yonaka,よなか,しんや,深夜 2. 正午,jūni-ji,昼,真昼,しょうご,shōgo,十二時,じゅうにじ
소수독점	寡占
디지탈	デジタル
이전에	1. 旧来,かつて 2. 予め,あらかじめ
공포 정치가	テロリスト
쿠마시	クマシ
전쟁 포로	捕虜
인종적 차별	人種差別
일용품	商品
에딘버러	エディンバラ
해마다	年一回,毎年,年一回の
약 빠르지 못한	不器用な,ぎごちない
조사에 종사하는	実情調査
인젝션	ちゅうにゅう,chūnyū
연체 동물	軟体動物
카라카스	カラカス
정렬 알고리즘	ソート
인터링구아	インターリングア語,インターリングア
시기를 놓친	ainiku no
중대 국면	境目,不景気
1파인트들이 그릇	パイント
부산물	副産物
우리나라	朝鮮
단풍나무	かえで,カエデ
교조주의	1. 教義 2. 教義
위험한	1. 危険な 2. あやうい,危うい,ayaui,あぶない,abunai
주사위 놀이	バックギャモン
젖떼다	やめさせる,乳離れさせる
인자형	遺伝子型
장수학	老人学,老人医学
한벌의	十二進法
디스토피아	ディストピア
유아의	幼稚
볼가 강	ボルガ川
필경에는	やっと,ついに,結局,最終的に,とうとう
산사나무속	サンザシ
대접받침	そろばん,頂板,算盤
트리케라톱스	トリケラトプス
끌어 들임	熱伝導,伝導度
낭비가 많은	不能な
스케이트	スケーティング,スケート
저항을 그만두다	諦める,降伏する
분음 기호	分音符号
보증인	スポンサー
헛되이	1. 不用に 2. 無益
피의자	被告
불량자	ちんぴら
수염 없는	さらさら,さらさらと,つるつる
코뿔소	犀,サイ
해사의	航海
창고 관리인	商人,shōnin
유아어	愛称
캠프장	キャンプ場,野営地,テント場
소매상인	1. 商人,shōnin 2. 商人,shōnin,しょうにん
개선하다	1. 上達する,上達させる,改善,良くなる,改善する 2. 直す,癒える,癒す,治る 3. よくなる,改善する
카테테르	カテーテル
기호변환 프로그램	アセンブラ,asenbura
형광성	蛍光,けいこう
수다스러운	おしゃべり好きな
필요물	必要,nyūyō,入用,にゅうよう
항성의	1. 恒星の（こうせいの,星の 2. 恒星の（こうせいの,星の
익명자	筆名,雅号,ペンネーム
해산물	シーフード,魚介類,海産食品,海産物,海鮮
용한사람	ブルドッグ
섬광적인	どぎつい,あくどい,けばけばしい,派手な
인명부	ディレクトリ
자력계	磁気センサ
진공펌프	真空ポンプ
통지하다	通告,知らせる
韓國	朝鮮
이메일	メール,Eメール,電子メール,イーメール
오케스트라	1. オーケストラ 2. オーケストラ,ōkesutora
파푸아 뉴기니	パプアニューギニア
군사 혁명	檄文,檄
따오기	朱鷺,とき
부룬디	ブルンジ
향유 고래	マッコウクジラ
피그미족	ピグミー
디저트	デザート
위장염	胃腸炎
분리성	溶解性
미국남동부의 주	テネシー,テネシー州
인류학	じんるいがく,人類学
형광등	蛍光灯,けいこうとう
힉위 증서	卒業証書,ディプロマ
협공저	共和,協働
버드나무	ヤナギ,柳
원추형	円錐
아주 싫은 것	憎しみ
풀기어려운	複雑
디젤유	ディーゼル燃料
선회하다	曲る
이발하다	理髪師,床屋,美容師
부르카	ブルカ
디젤차	ディーゼル燃料,軽油,ディーゼルエンジン,ディーゼル
코사인	余弦,コサイン
항상성	恒常性
자유분방	油断,過失,yudan,ゆだん
부메랑	ブーメラン
토지 관리인	不動産屋
비브라토	ビブラート
섬광전구	稲光,フラッシュ
출처가 의심스러운	うその,典拠が疑わしい
발음 구별 기호	ダイアクリティカルマーク
자웅 동화서	双成り
최후 통고	最後 通牒
이마뼈	前頭骨
변태의	異常な,不自然な
세발자전거	三輪車
올빼미 비슷한	ふくろう,梟,フクロウ
무기한으로	itsumademo,何時までも,いつまでも
영국에서는 약4	ガロン
합성기	シンセサイザー,音源
107번 원소	ボーリウム
위원장	議長,委員長,主席
품행이 좋지 못함	文法違反
들치기	万引,manbiki,まんびき
중세 고지 독일어	中高ドイツ語
피우다	1. 飲む 2. 飲む
약한 지진	振戦
알프스 산맥	アルプス
체조교사	体操選手
자매의	姉妹
광장공포증	広場恐怖症
히브리의 예언자	オバデヤ書
소크라테스	ソクラテス
정사각형	正方形
어스레함;회색	灰色
피오르	フィヨルド
카나리아 제도	カナリアス諸島,カナリア諸島
유입점	ryūnyū,りゅうにゅう,流入
아야톨라	アヤトラ
학살하다	謀殺する,殺害する,殺す
순리적으로	いつもは,俗,通常,tada,何時も,一般に,日頃,大抵,普通に,ただ,いつも
순종하는	従順な,従順,忠実な,忠実
하숙집	宿舍
일벌레	働き者
학자연하는 사람	衒学者
코브라	コブラ
프로그래밍 언어	プログラミング言語,計算機言語
입문서	いろは
일반인	人民,市民,国民,公民,民衆,臣民,民
香港	中華人民共和国香港特別行政区,香港,ホンコン
보청기	補聴器
용해제	溶媒
발랄라이카	バラライカ
왕굴나무	ブンタン
유용한	1. かちたかい,価値高い,kachitakai,貴重,大切な 2. 便利な
음성학	音声学
분리한	慎重
빨강모자 소녀	赤ずきん
인정받지 못하는	同一の,一卵性の
유일량	ryūnyū,りゅうにゅう,流入
혈거인	穴居人
콧대를 꺾어 놓다	おがくず
고유 명사	名前,固有名詞
실례되는말	文法違反
유원지	遊園地
대장장이	鍛治屋,蹄鉄工,鍛冶屋
유월절	過越
용해성	溶解性
음소의	音韻論
육욕의	官能的
데모크리토스	デモクリトス
건조하다	乾く,乾かす
마그나 카르타	マグナ・カルタ
장미꽃밭	ロザリオ
말라리아	マラリア
우편환	かわせ,為替
재떨이	灰皿
한센병	天刑病,癩病,ハンセン病
유용성	ユーザビリティ
장미나무	bara,ばら,薔薇,バラ
가신의 신분	しんじゅう
바다코끼리	セイウチ
음소론	1. 音韻学,音韻論 2. 音韻論
까는 모피	カーペット,絨毯
자르다	1. 切る 2. 切る 3. 切り離す,切断,切断する
유연한	軽い
입맞춤	平和
엄지손가락	親指
필수 아미노산	必須アミノ酸
햄버거	ハンバーガー
핵분열	核分裂
자유무역	自由貿易
불명한	疑わしい
루마니아의수도	ブカレスト
탈환하다	取り戻す
쿼크모형	クォーク
슬라브 사람	スラブ人,スラヴ人
...에 관계없는	とも,……とも,いいえ
風水	風水
이발사	1. 理髪師,床屋,美容師 2. 床屋,美容師
자료부	霊安所,遺体安置所
특별한 방법으로	1. 特別,特殊に,特別に 2. 特別,一入,ひとしお,別段,特殊に,特別に
보청의	アコースティック
엘리자베스1세	エリザベス
마개뽑이	コルクスクリュー
불면증	不眠症,不眠
직접적으로	近く
산발적인	散発的
사납게몰아치는	賑やかな
접는식의 유모차	乳母車,ベビーカー
유기적 조직체	生物
분명함	あきらか
자비롭게	人道的に
뺑소니치다	散歩する
불명예	1. 羞恥心 2. 羞恥心
매혹하는 사람	魔法使い
오늘저녁	今晩,今夜
버펄로	バッファロー
점강음	crescendo,クレシェンド
뉴욕 시	ニューヨーク州,ニューヨーク市,ニューヨーク,紐育
역사적으로 유명한	祝われた
전구증	徴候,前駆症状
콩소메	コンソメ
약종; 약물학	薬理学,薬学
붉은 빛을 띤	赤,サクランボ色,性的にみだらな
햄스터	ハムスター
알아보다	認める
셰익스피어	シェイクスピア
불도저	ブルドーザー
가청전파	分光特性,スペクトル
부등식	不同,不平等
주소 성명록	ディレクトリ
인칭 대명사	人称代名詞
너무 익힌	無理な,誇張された
뉴욕 주	ニューヨーク州,ニューヨーク
크림반도	クリミア
저금통	1. 貯金箱 2. 貯金箱
열중시키는	熱心な
절대적인 진리	福音書,ゴスペル
격리 병원	ハンセン病療養所
허리통	胴回り,ウエスト,胴のくびれ,腰
실험용 언어	メタ言語
장려한	素晴らしい,subarashii,見事,素晴しい,立派な
임계 질량	臨界質量
가르치는 사람	教師
프라이버시	ひみつ,秘密,グライバシー
하이쿠	俳句
방글라데시	バングラデシュ
친할아버지	外祖父,祖父,そふ,お爺さん,おじいさん,sofu
뇌척수액	脳脊髄液,髄液
숨막힐듯한	mushiatsui,蒸し暑い,むしあつい
젓가락	割り箸,箸,おてもと,はし,菜箸
돛이 거꾸로	1. 後方 2. 後方
역전할수 없는	不可逆な
12세인 성인	頓痴気,低能者,間抜け,baka
용적 톤수	トン数
알제리의 수도	アルジェ
복어류	鰒,河豚,フグ
적나라한	裸の,裸
산을 내는	酸性の,酸性
자비로운	1. 慈愛深い 2. 慈悲深い,慈愛深い
성애를다룬문학	ポルノグラフィー,猥褻,ポルノ,エーブイ,猥本,アダルトビデオ
카주피리	カズー
음식의	栄養素
(Hawai)	ハワイ州,ハワイ諸島
쿠데타	乗っ取り,謀叛
일부러	故意,故意に,わざと,意識的な,態と
시시한 인간	青二才
파로스어	フェロー語,ファロエズ語
자명종	目覚し,目覚まし時計
벨크로	面ファスナー,ベルク
전격전	電撃戦
코알라	袋熊,コアラ
장례식	葬式,葬儀
음식점	レストラン,食堂
균형잡힌	対称な
잔물결	波紋,ウェーブレット
경쟁하다	競争する,争う,張り合う
일정 불변	画一性,統一性,普遍性
거주하다	住む
파푸아뉴기니	パプアニューギニア
보이다	見せる
일본해	Nihonkai,日本海
부스러기	もつ,臓物
보일러	ボイラー
볼연지	頬紅
합성하는 사람	シンセサイザー,音源
입법부	1. 立法府 2. 元老院
유전형	遺伝子型
우회로	迂回路
동물행동학	動物行動学
후천성면역결핍증	エイズ,後天性免疫不全症候群
유전학	遺伝学,遺伝的特性
유유히	故意,故意に,わざと,意識的な,態と
입방근	立方根
알았습니다	必ず,zehi,正に,是非,その通り,屹度,実に,確かに,確実に,きっと,ぜひ
콧수염	鬚,口髭,髯,口ひげ,髭
바스티유 감옥	バスティーユ牢獄
유일한	唯一
니기미 씹할놈	くそったれ
의성어	擬音語,ぎおんご,擬声,オノマトペ,擬声語,擬声擬態語,擬音
지렁이 양식	バーミキュライト
유전자	gen,遺伝子,いでんし,idenshi
별거수당	別居扶助料
아나콘다 뱀	アナコンダ
일본어	日本人,日本語
자유사상	理神論
이탈자부리파	分離主義者,分離独立
하와이	ハワイ州,ハワイ諸島
이사회	元老院
들쥐류	畑鼠,ハタネズミ
시계풀의 열매	パッションフルーツ
재무관	会計係
방귀뀌다	屁をこく,放屁,屁をひる,放屁する,おならをする
이상화	昇華
밀크셰이크	ミルクセーキ
이상한	1. 奇妙な 2. おかしい,乙,変な 3. 不気味な
마력있는	マジック
복잡성	複雑さ
디스켓	フロッピィ,フロッピーディスク,ディスク,ディスケット
인삼속	オタネニンジン
긴급출동부대	消防隊
불사하는	不滅
필적학	筆跡学
항구 도시	ベリーズ
연료 주입구	防火扉
광광 여행	観光
인쇄기	印刷業者
시트론껍질	1. シトロン 2. シトロン
인쇄공	印刷業者
미국 북서부의 주	ワイオミング州,ワイオミング
버들개지	尾状花序
사이안화 수소	シアン化水素
베트남	ベトナム
일사병	日射病
병참술	物流,運送,兵站,butsuryū,ぶつりゅう
자유 에너지	エネルギー
정규의	常態,正常
음운론	音韻学,音韻論
효소 분해	発酵
웃으며 ...하다	笑う,笑い飛ばす,一笑に付す
코소보	コソボ,コソヴォ
점근선	漸近線
장미덤불	bara,ばら,薔薇,バラ
복음서	福音
고대 영어	1. 古英語 2. 古英語 3. 古期英語,古英語
부뚜막	囲炉裏,暖炉,だんろ,danro
보육원	保育所
베토벤	ベートーベン
단편소설	短編小説
음악학	音楽学
한여름	真夏
정규로	いつもは,俗,通常,tada,何時も,一般に,日頃,大抵,普通に,ただ,いつも
소리치다	1. 歌う 2. 叫ぶ 3. 叫ぶ
이상의	異常な,不自然な
인서기	印刷業者
매력있는 사람	魔法使い
원하다	希望する,望む
은유의	比喩,比喩的な
오페레타	オペレッタ,喜歌劇,軽歌劇
감동시키는	辛辣な,痛切な,痛烈な
보호하지 않은	明確な,明確
전기판	決まり文句
양털 모양의 침전	凝集
틀린생각	誤謬
제곱근	平方根
해시계	日時計
여자12~21세	青年期,青春
인사과	人事部,人事課
바퀴달린 의자	車椅子
정관사	定冠詞
인상주의	印象派
본 뜨는 공구	雛形
털어놓다	現す
부럽다	羨ましい
필요한	必要な
민주적으로	民主的に
정강이	脛,臑
어휘 항목	語彙素
전기의	シビレる,エレクトリック,電気的な,電動の
기관지염	気管支炎
벌하다	懲罰する,ばっする,制裁する
정각에	1. 早々,早速 2. 早々,早速
피제수	被除数
따분한	退屈な
보조물	子会社
수에즈 운하	スエズ運河,スエズ地峡
잡목숲	雑木林
정거장	警察署
해석학	解釈学
보조자	子会社
장마철	雨季,雨期
원자력 전기	原子力
제정신의	バランスの取れた,常識のある
냄새 맡는 약병	ヴィネグリットソース
적포도주	赤葡萄酒,赤ワイン
정신 착란의	気が狂った
긴 프록코트	アルベルト,アルバート
사전 인지	予知
탄화칼슘	炭化カルシウム
운좋은	幸福な
원예가	庭師
원앙새	オシドリ
사나운비바람	荒れ,are,嵐
쬐어지다	炙る
존재에 관한	存在的
우주의	空間的
우주선	1. 宇宙機,宇宙旅行船,宇宙船 2. 宇宙機,宇宙旅行船,宇宙船
비만한	肥満
추구하다	求愛,求愛する
앤솔러지	アンソロジー
율법학자	ラビ
비디오 카세트	ビデオカセット
자기력	磁性
유방암	乳癌
원예사	庭師
오아시스	避難所,オアシス
웃으운	1. かたはらいたい,馬鹿らしい,kataharaitai,片腹痛い,馬鹿な 2. 馬鹿らしい 3. 馬鹿らしい
투표용의 작은공	投票用紙
유미즙	糜粥
표준시	ひょうじゅんじ,標準時間,ひょうじゅんじかん,時
생물상호작용	共和,協働
저음의나팔통	スーザフォン,チューバ
썩  좋은것	ピザパイ,パイ,ケーキ
자기장	磁場,磁界
섭외 사무	パブリック・リレーションズ,PR,ピー・アール
통나무 벌채	伐採
연애 유희	軟派
웰쉬어	1. ウェールズ語 2. ウェールズ語
여자 실업가	女性実業家
향수 박하	レモンバーム,西洋山薄荷
비망록	忘備録,メモ
진지하게	真剣に,切実に,真面目に
뇌하수체	下垂体
불쾌히	声を出して,大声で
불쾌한	1. 嫌 2. くだらない 3. 憎い
자기학	磁性,磁気
인도마마	フランベジア
탄알을 빼내다	降ろす
유별한	1. 取り合わせた,雑多 2. 取り合わせた
콜히친	コルヒチン
罪人	1. 罪人,犯人 2. とりこ,hitoshichi,人質,ひとしち
타로토란	里芋,サトイモ
압하스어	アブハズ語,アブハジア語
와이오밍 주	ワイオミング州,ワイオミング
장광설	失禁
비만증	1. 肥大,肥満 2. 肥満,kajū
포어성 동물	漁師
비막이	日陰,日よけ
선 자세	見得
인원수 세기	人口調査,戸籍
돼지기름을 바르다	ラード
게걸스러운	熱心な
중세 영어	中期英語
팝 음악	ポップ,ポップ・ミュージック
美國	亜米利加,アメリカ大陸,アメリカ州,アメリカ合衆国,アメリカ,米国
한 통의 양	バケツ
망고스틴	マンゴスチン
화화한 겉치레	もんしょう,紋章
숨김없는	明晰な
육분의	六分儀
위선자	偽善者,ぎぜんしゃ,gizensha
상관 대리	中尉,副官,少尉
카탈루냐 지방	カタルーニャ,カタロニア
이제부터는	1. 前へ 2. 今後,今や,これ以後
컴프레서	圧縮
외톨이	ひとり
원자로	原子炉,反応器
단선율의	モノ
월요일	月曜日,getsuyōbi
원자력	1. かくほゆうこく,kakuhoyūkoku,核保有国,原子力 2. 原子力
프놈펜	カンボジア,プノンペン
하기)	連音
빠른맥	頻脈
불평등	不同,不平等
자동 변속 장치	オートマチック
투표용지	1. 投票 2. 投票用紙
스튜 냄비	鍋,ソースパン
삼단 논법	三段論法
거죽만의	表面上
퀸즐랜드	クイーンズランド
지체 높음	hitogara,ひとがら,人柄
폭풍우	1. 荒れ,are,嵐 2. 嵐 3. 嵐
보좌 신부	牧師
포플라	ポプラ
단풍나무속	かえで,カエデ
胎兒	胎児,胎兒
원일점	アプス,長軸端
원자의	原子
초현실주의	超現実主義,シュルレアリスム
위생학	衛生
교구위원	所長,看守
음료수	飲用水,飲料水
갑상선저하	甲状腺機能低下症
요크가	ヨーク,ヨーク家
이따금	時々,時時,ときどき,tokidoki
식세포 작용	食作用
콤펙트	パンケーキ
원조자	助手
재규어	パンサー,ジャガー,ヒョウ,ピューマ,豹
인두세	人頭税
공공 토목 공사	公共事業
에우로파	エウロパ
태평스러운	のんきな
외판원	店員
냄새 자국	フラストレーション,障害物
스페인말의 혼합어	共通語,リングワ・フランカ,リンガフランカ
인민당원	民主党支持者,民主主義者
인도양	インド洋
잔재주 있는 사람	広く浅く,万屋
우편 엽서	葉書,hagaki,はがき
우체국	ゆうびんきょく,yūbinkyoku
아라스천	タペストリー
때로는	時々,時時,ときどき,tokidoki
숨김없이	正直に
소산하다	吐き出す
의붓 딸	継娘
칼리포르늄	カリホルニウム
조심스럽게	じっくり,丹念に
탕가니카 호	タンガニーカ湖,タンガニーカ
육두구의 씨	ナツメグ
빠르기	そくど,速さ,速度
피고인	被告
관상대원	天気予報係
표절물	盗作,剽窃
현미경의	マイクロスコープ,顕微鏡
마이애미	マイアミ
카르나타카 주	カルナータカ州,カルナータカ
우체부	郵便配達人
十二月	師走,じゅうにがつ,十二月,12月
...의 대신에	...の代わりに,代わり
건강해 보이는	美しい
인두염	咽頭痛
핀란드 만	フィンランド湾
원주민	原住民,アボリジニ
코홀즈	コルホーズ
공포정치	テロリズム,テロ
위스키	ウィスキー,ウイスキー,uisukī
음모단	秘密結社
지금까지	これまでのところ,これまで,今まで
한국어	韓国語,朝鮮語
프라하	プラハ
정신병 의사	精神科医,精神医学者
통화 공급량	マネーサプライ
알렉산드리아	アレクサンドリア
타산적인	計算高い,keisandakai,けいさんだかい,計算可能な
말라얄람어	マラヤーラム語
원주필	ボールペン
플래시	ランタン,提灯
백발이 섞임	灰色
때때로	1. 時々,時時,ときどき,たまに,tokidoki 2. 時々,時時,ときどき,tokidoki
胎盤	胎盤
국민학교	しょうがく,学校,小学校,しょうがっこう,shōgakkō
가니메데	ガニメデ
남미의공화국	ボリビア
복장 도착자	異性装者
불충실	不忠実
애보카도	アボカド
컴퓨터 프로그래밍	プログラミング,番組
오시비엥침	アウシュビッツ,オシフィエンチム,アウシュヴィッツ
헤너 머리 염색제	ヘンナ
쾌활한	快活な
쾌활함	だんせい,弾性,柔軟性,弾力性
푸주한	肉屋
크바스	クワス
근본주의	根本主義
영양이 되는	栄養素
十一月	十一月,１１月,じゅういちがつ,霜月,11月
잘 지껄이는	おしゃべり好きな
보조 정리	補題
소프트웨어 엔지니어	ソフトウェアエンジニア,プログラマー,ソフトウェア開発者
가는사람	とぎ器
프로판	プロパン
프로톤	陽子
의붓 형제	たねちがい,胤違い,異父母兄弟
니코시아	ニコシア
안녕히 주무십시오	おやすみなさい
보이지 않	見えない
크립톤	クリプトン
안녕히 주무십시요	おやすみなさい
돼지우리	豚舎
오트볼타	ブルキナファソ,オートボルタ
권위주의의	独裁的な
오스트레일리아	1. オーストラリア人,オージー 2. Ōsutoraria,オーストラリア大陸,豪州,濠洲,オーストラリア,豪,オーストラリア連邦 3. オーストラリア大陸,オーストラリア
카트만두	カトマンズ
크리크	小川,流れ,入江,いりうみ,いりえ,入海,川,irie,iriumi
합격한	幸運な,成功した,成功裏の
실격시키다	無効にする,無力化する
臺灣	臺灣,たいわん
유속계	回転速度計
유산아	人工流産,妊娠中絶,中絶,人工妊娠中絶
퇴관하다	辞職する,辞任する,辞める,退位する
유선염	乳腺炎
태극권	太極拳,太極
확실하게 하다	証明する
확대 가족	大家族
사담 후세인	サッダーム・フセイン
프리온	プリオン
헬리콥터 발착소	ヘリポート
뛰어난 기억력	忍耐,堅持
웨이터	1. ウエーター 2. ウエーター 3. ウエーター,ウエイター 4. ウエーター,ウェイトレス,ウェートレス,ウエイトレス
항공술	宇宙航行学
낚시밥용지렁이	蚯蚓,ミミズ
사춘기에 이름	思春期,破瓜,青春期
태권도	格闘技,テコンドー
눈치빠른	眩い,kawaii,ﾓｴ
해결법	出口,解決法
보석의 원석	宝石
가다랑어	カツオ
움직이다	1. 行く,死ぬ 2. 死ぬ,あげる 3. 傾く
유성음	有声音
자동사	自動詞
외향성	外向性
유성체	流星
터무니 없는	かたはらいたい,馬鹿らしい,kataharaitai,片腹痛い,馬鹿な
수정하다	適応する
필기자	syoki）,書記
죽은 뒤에	死後
클로버	クローバー
메티오닌	メチオニン
트림하다	げっぷ,噫気する,げっぷする,うっぷ,うっぷする,おくび,噫気,おくびする
깍지를 먹는콩	莢豌豆
위안부	慰安婦,従軍慰安婦
자동차	乗用車,車,四輪車,kuruma,自動車,くるま
의문문	尋問
학개서	ハガイ書
필기체	草書
깜짝 놀라다	後方
크루프	尻,ケツ
종으로 연결한	垂直の,直立,直立の,縦の,縦
척추 동물	脊椎動物
못 본체하다	ハゼ,鯊,沙魚
의무실	病院
자루 걸레	モップ
탐구자	探検家
이라크	イラク
거저 먹기	ピザパイ,パイ,ケーキ
배분하다	取り置く,配置する
이력서	履歴書
국민투표	1. 国民投票,レファレンダム 2. 国民投票,レファレンダム
어찌할 도리 없는	心細い
박수갈채	拍手
빨리빨리	さっさと
독일 사람	1. ジェリー 2. ドイツ人,独語,ドイツ語,ドイツ
땅돼지	アリクイ,ツチブタ
비능률적인것	不能
의미론	セマンティック
맹견의 일종	マスチフ,マスティフ
마음씨 고운	親切,心の優しい,優しい
진심어린 언동	こんせつ,konsetsu,懇切
